trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.2, 'e': 0.8564151774836136}",35,0,-72.16766816285177,"{0: 24, 1: 4, 2: 6, 3: 1, 4: 0}",0
156,False,"{'a': 0.2, 'e': 0.8555591903710185}",20,0,-98.4613891375123,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
157,False,"{'a': 0.2, 'e': 0.8547040588176851}",20,0,-76.95143170466392,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.2, 'e': 0.8538497819684817}",35,0,-203.61068253391093,"{0: 15, 1: 5, 2: 13, 3: 1, 4: 1}",0
159,False,"{'a': 0.2, 'e': 0.8529963589691316}",20,0,-78.11224427745861,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
160,False,"{'a': 0.2, 'e': 0.8521437889662113}",25,0,-93.6706845114712,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
161,False,"{'a': 0.2, 'e': 0.8512920711071511}",20,0,-128.85516228087317,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
162,False,"{'a': 0.2, 'e': 0.850441204540233}",25,0,-35.53519390022156,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.2, 'e': 0.8495911884145902}",25,0,-91.1373301668965,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
164,False,"{'a': 0.2, 'e': 0.8487420218802066}",25,6,-81.18001438508017,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
165,False,"{'a': 0.2, 'e': 0.8478937040879158}",30,0,-162.38832042067202,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
166,False,"{'a': 0.2, 'e': 0.8470462341893996}",25,0,-31.677713744229433,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.8461996113371884}",25,0,-26.268542767414328,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.2, 'e': 0.8453538346846587}",30,0,-144.86403012748713,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
169,False,"{'a': 0.2, 'e': 0.8445089033860342}",25,0,-217.78523739506923,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
170,False,"{'a': 0.2, 'e': 0.8436648165963837}",25,0,-52.58215427070105,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
171,False,"{'a': 0.2, 'e': 0.8428215734716199}",20,0,-216.64752050283042,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
172,False,"{'a': 0.2, 'e': 0.8419791731684998}",25,0,-235.28541424451058,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
173,False,"{'a': 0.2, 'e': 0.8411376148446232}",20,0,-17.93560915525005,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.8402968976584314}",25,0,-31.576761883870414,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
