trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.9, 'e': 0.8650222931107414}",20,7,-65.82386509751657,"{0: 8, 1: 1, 2: 1, 3: 3, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.8641577031846428}",25,0,-120.43585615845325,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
147,False,"{'a': 0.9, 'e': 0.8632939774163193}",25,0,-61.6130131018617,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
148,False,"{'a': 0.9, 'e': 0.8624311149420454}",20,0,-69.65601448865293,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
149,False,"{'a': 0.9, 'e': 0.8615691148989584}",20,0,-86.91664298485964,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
150,False,"{'a': 0.9, 'e': 0.8607079764250578}",25,0,-31.257115703433257,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.9, 'e': 0.8598476986592054}",20,13,12.020363173353015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.8589882807411234}",25,0,-113.59398544929294,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
153,False,"{'a': 0.9, 'e': 0.8581297218113939}",30,0,-195.66237249380544,"{0: 19, 1: 5, 2: 1, 3: 1, 4: 4}",0
154,False,"{'a': 0.9, 'e': 0.8572720210114574}",20,0,-81.24387668555734,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.8564151774836136}",20,0,-49.682354119628975,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.9, 'e': 0.8555591903710185}",25,0,-93.36762397834701,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
157,False,"{'a': 0.9, 'e': 0.8547040588176851}",20,0,-111.20150270257103,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
158,False,"{'a': 0.9, 'e': 0.8538497819684817}",20,9,-26.42797816727322,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.8529963589691316}",20,0,-126.18058462428402,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
